year,Time,Latitude,Longitude,Max Winds,SS,RMW,Central,States,Storm
9/17/1906,2200Z,33.3N,79.2W,80,1,30,977,"SC1,NC1",---------------
9/27/1906,1100Z,30.2N,88.6W,95,2,45,958,"MS2,AL2,AFL2,LA1",---------------
10/18/1906,1000Z,24.7N,81.1W,105,3,10,953,"BFL3,CFL3",---------------
10/18/1906,1200Z,25.3N,80.7W,105,3,10,953,"CFL3,BFL1",---------------
7/31/1908,1100Z,34.6N,77.1W,70,1,---,-985,NC1,---------------
6/29/1909,1700Z,26.1N,97.2W,85,2,---,972,ATX2,---------------
7/21/1909,1700Z,28.9N,95.3W,100,3,20,959,CTX3,"""Velasco"""
8/27/1909#,2200Z,23.7N,97.7W,65,1,---,-955,ATX1,---------------
9/21/1909,0000Z,29.5N,91.3W,100,3,30,952,"LA3,MS2","""Grand Isle"""
10/11/1909,1800Z,24.7N,81.0W,100,3,20,957,"BFL3,CFL3",---------------
9/14/1910,2200Z,26.9N,97.4W,90,2,---,-965,ATX2,---------------
10/17/1910*,1900Z,24.6N,82.6W,90,2,---,941,BFL2,---------------
10/18/1910,0600Z,26.5N,82.0W,95,2,30,955,BFL2,---------------
8/11/1911,2200Z,30.3N,87.5W,70,1,---,-982,"AFL1,AL1",---------------
8/28/1911,1000Z,32.2N,80.7W,85,2,25,972,"GA1,SC2",---------------
9/14/1912,0800Z,30.3N,88.4W,65,1,50,-986,"AL1,AFL1",---------------
10/16/1912,1800Z,27.1N,97.4W,85,2,---,-970,ATX2,---------------
6/28/1913,0100Z,27.1N,97.4W,65,1,---,-986,ATX1,---------------
9/3/1913,0800Z,34.7N,76.6W,75,1,40,976,NC1,---------------
10/8/1913,1400Z,33.1N,79.4W,65,1,---,-989,SC1,---------------
8/1/1915,1800Z,28.7N,80.8W,65,1,15,990,DFL1,---------------
8/17/1915,0700Z,29.2N,95.1W,115,4,25,940,"CTX4,BTX1,LA1","""Galveston"""
9/4/1915,1100Z,30.0N,85.4W,80,1,25,982,AFL1,---------------
9/29/1915,1800Z,29.0N,90.3W,110,3,20,944,"LA3,MS2","""New Orleans"""
7/5/1916,2100Z,30.4N,88.4W,105,3,20,950,"MS3,AL2,AFL2",---------------
7/14/1916,0800Z,32.9N,79.5W,95,2,20,960,SC2,---------------
8/18/1916,2200Z,27.0N,97.4W,115,4,25,932,ATX4,---------------
10/18/1916,1400Z,30.4N,87.4W,95,2,20,970,"AL2,AFL2",---------------
9/29/1917,0200Z,30.4N,86.6W,100,3,40,949,"AFL3,LA2,AL1",---------------
8/6/1918,1800Z,29.8N,93.2W,105,3,10,-955,"LA3,CTX1",---------------
8/24/1918,2100Z,34.8N,76.8W,65,1,30,-988,NC1,---------------
9/10/1919,0700Z,24.6N,82.9W,130,4,15,927,"BFL4,CFL2",---------------
9/14/1919,2100Z,27.2N,97.3W,100,3,35,950,"ATX3,BTX3",---------------
9/22/1920,0100Z,29.1N,90.8W,85,2,30,975,LA2,---------------
6/22/1921,1800Z,28.5N,95.9W,80,1,15,980,"BTX1,CTX1",---------------
10/25/1921,2000Z,28.1N,82.8W,100,3,20,958,"BFL3,AFL2,DFL1","""Tampa Bay"""
10/16/1923,0600Z,29.2N,91.0W,70,1,45,983,"LA1,MS1",---------------
8/26/1924*,0400Z,35.5N,74.8W,65,1,35,963,NC1,---------------
8/26/1924*,1900Z,41.2N,70.2W,65,1,40,968,MA1,---------------
9/15/1924,1400Z,29.7N,85.3W,75,1,---,980,AFL1,---------------
10/21/1924,0100Z,25.8N,81.8W,80,1,20,975,"BFL1,CFL1",---------------
7/28/1926,1000Z,29.0N,80.8W,90,2,15,967,"DFL2,CFL1",---------------
8/25/1926,2300Z,29.2N,90.9W,100,3,20,955,LA3,---------------
9/18/1926,1200Z,25.6N,80.3W,125,4,20,930,"CFL4,BFL3","""Great Miami"""
9/20/1926,2200Z,30.3N,87.5W,100,3,15,955,"AFL3,AL3,MS1",---------------
10/21/1926*,0300Z,25.0N,80.3W,75,1,20,949,"BFL1,CFL1",---------------
8/8/1928,0700Z,27.3N,80.2W,85,2,10,977,CFL2,---------------
9/17/1928,0000Z,26.7N,80.0W,125,4,30,929,"CFL4,BFL3,AFL1,DFL1","""Lake Okeechobee"""
9/18/1928,1900Z,32.5N,80.3W,75,1,35,977,"GA1,SC1",---------------
6/28/1929,2100Z,28.3N,96.4W,80,1,10,982,BTX1,---------------
9/28/1929,1300Z,25.0N,80.5W,100,3,30,948,"BFL3, CFL3",---------------
10/1/1929,0400Z,30.2N,85.7W,70,1,---,975,AFL1,---------------
8/14/1932,0400Z,29.0N,95.2W,130,4,10,935,"CTX4,BTX1","""Freeport"""
9/01/1932,0500Z,30.2N,88.1W,75,1,---,979,"AFL1,AL1,MS1",---------------
7/30/1933,1600Z,27.1N,80.1W,65,1,---,988,CFL1,---------------
8/5/1933#,0100Z,25.8N,97.2W,80,1,25,975,ATX,---------------
8/23/1933,1000Z,35.8N,75.6W,80,1,40,963,"NC1,VA1,MD1",---------------
9/5/1933,0400Z,26.1N,97.2W,110,3,20,-940,ATX3,---------------
9/4/1933,0500Z,26.9N,80.1W,110,3,15,948,CF3,---------------
9/16/1933*,1200Z,35.2N,75.4W,85,2,40,952,"NC2,VA1",---------------
6/16/1934,1900Z,29.7N,91.7W,85,2,30,966,LA2,---------------
7/25/1934,1700Z,28.1N,96.8W,75,1,25,-979,ATX1,---------------
9/8/1934*,1000Z,35.3N,75.3W,65,1,---,-975,NC1,---------------
9/8/1934*,2200Z,39.7N,73.4W,65,1,---,-984,NJ1,---------------
9/9/1934,0200Z,40.7N,73.0W,65,1,---,-989,NY1,---------------
9/3/1935,0200Z,24.8N,80.8W,160,5,5,892,"CFL5, BFL5","""Labor Day"""
9/4/1935,2200Z,29.6N,83.4W,85,2,20,-965,"AFL2, IGA1","""Labor Day"""
11/4/1935,1800Z,25.9N,80.1W,85,2,10,973,"CFL2, BFL1",---------------
6/27/1936,1600Z,27.9N,97.0W,70,1,5,987,BTX1,---------------
7/31/1936,1400Z,30.4N,86.6W,90,2,20,964,"AFL2, I-AL1",---------------
9/18/1936*,1000Z,35.6N,74.8W,75,1,35,964,"NC1, VA1",---------------
8/15/1938,0100Z,29.8N,93.4W,65,1,---,-995,LA1,---------------
9/21/1938,2000Z,40.7N,72.9W,105,3,40,941,NY3,"""Great New England"""
9/21/1938,2100Z,41.3N,72.9W,100,3,40,946,"CT3, RI3, MA2","""Great New England"""
8/11/1939,2300Z,27.2N,80.2W,65,1,---,-987,CFL1,---------------
8/13/1939,0600Z,30.4N,86.4W,65,1,---,985,AFL1,---------------
8/7/1940,2100Z,29.7N,94.1W,85,2,10,972,"CTX2, LA2",---------------
8/11/1940,2000Z,32.1N,80.8W,85,2,25,972,"SC2, GA1",---------------
9/23/1941,2200Z,28.8N,95.6W,110,3,20,942,"CTX3,BTX2",---------------
10/6/1941,1000Z,25.5N,80.2W,85,2,10,980,"CFL2,BFL1",---------------
10/6/1941,1100Z,25.5N,80.3W,85,2,10,980,"CFL2,BFL1",---------------
10/7/1941,0900Z,29.9N,84.6W,80,1,20,982,"AFL1,IGA1",---------------
8/21/1942,1300Z,29.5N,94.6W,65,1,---,992,CTX1,---------------
