"HID","HNAME","DATE","TIME_UTC","STATUS","LATITUDE","LONGITUDE","WINDSPEED_KT","PRESURE_MB","NE_34_KT","SE_34_KT","NW_34_KT","SW_34_KT","NE_50_KT","SE_50_KT","NW_50_KT","SW_50_KT","NE_64_KT","SE_64_KT","NW_64_KT","SW_64_KT","max_KT","DECADE"
"AL011950","ABLE","19500812","0000","TS",17.1,-55.5,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500812","0600","TS",17.7,-56.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500812","1200","TS",18.2,-57.4,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500812","1800","TS",19,-58.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500813","0000","TS",20,-60,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500813","0600","TS",20.7,-61.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500813","1200","TS",21.3,-62.2,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500813","1800","TS",22,-63.2,55,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500814","0000","TS",22.7,-63.8,60,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500814","0600","TS",23.1,-64.6,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500814","1200","TS",23.4,-65.4,60,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500814","1800","HU",23.9,-66,65,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500815","0000","HU",24.4,-66.2,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500815","0600","HU",24.8,-66.5,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500815","1200","HU",25.2,-66.8,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500815","1800","HU",25.5,-67.5,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500816","0000","HU",25.7,-68.1,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500816","0600","HU",25.7,-68.7,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500816","1200","HU",25.5,-69.3,80,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500816","1800","HU",25.4,-69.8,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500817","0000","HU",25.4,-70.6,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500817","0600","HU",25.4,-71.5,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500817","1200","HU",25.5,-72.6,100,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500817","1800","HU",25.9,-73.3,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500818","0000","HU",26.7,-73.9,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500818","0600","HU",27.3,-74.4,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500818","1200","HU",27.9,-74.9,100,958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500818","1800","HU",28.4,-75.3,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500819","0000","HU",29.1,-75.5,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500819","0600","HU",29.9,-75.5,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500819","1200","HU",30.7,-75.5,105,953,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500819","1800","HU",31.7,-75.5,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500820","0000","HU",32.8,-75.2,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500820","0600","HU",34.4,-74.3,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500820","1200","HU",36,-72.7,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500820","1800","HU",37.6,-71,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500821","0000","HU",39.3,-69.4,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500821","0600","HU",41.2,-67.3,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500821","1200","HU",43.3,-65,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500821","1600","HU",44.6,-63.7,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500821","1800","TS",45.5,-62.6,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500822","0000","EX",47.9,-59.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500822","0600","EX",50,-56.8,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500822","1200","EX",52,-53.8,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500822","1800","EX",53.6,-50.7,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500823","0000","EX",54.7,-47.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500823","0600","EX",55.3,-44.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500823","1200","EX",55.3,-41.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500823","1800","EX",54.5,-37.7,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500824","0000","EX",53.5,-33.7,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL011950","ABLE","19500824","0600","EX",52.5,-30.3,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500818","1200","TD",12,-54,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500818","1800","TD",12.5,-54.2,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500819","0000","TD",13,-54.4,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500819","0600","TD",13.5,-54.7,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500819","1200","TS",14,-55,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500819","1800","TS",14.5,-55.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500820","0000","TS",15,-55.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500820","0600","TS",15.5,-56.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500820","1200","TS",16,-57,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500820","1800","TS",16.3,-57.9,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500821","0000","HU",16.6,-58.8,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500821","0600","HU",16.8,-59.8,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500821","1200","HU",16.9,-60.6,70,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500821","1800","HU",17,-61,75,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500822","0000","HU",17,-61.4,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500822","0600","HU",16.9,-61.8,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500822","1200","TS",16.8,-62.2,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500822","1800","TS",16.8,-62.9,45,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500823","0000","TS",17,-64,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500823","0600","TS",17.4,-65.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500823","1200","TS",17.8,-66.2,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500823","1800","TD",18.2,-67.3,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500824","0000","TD",18.6,-68.6,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500824","0600","TD",19.4,-70,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500824","1200","TD",20.3,-71.7,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500824","1800","TS",20.9,-73.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500825","0000","TS",21.3,-74.8,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500825","0600","TS",21.6,-76.6,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500825","1200","TS",21.7,-78.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500825","1800","TD",21.7,-79.1,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500826","0000","TS",21.7,-80.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500826","0600","TS",21.7,-81.2,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500826","1200","TS",21.8,-81.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500826","1800","TS",21.9,-82.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500827","0000","TS",22,-83.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500827","0600","TS",22.2,-84,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500827","1200","TS",22.3,-84.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500827","1800","TS",22.4,-85.3,55,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500828","0000","TS",22.6,-86.1,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500828","0600","TS",22.8,-86.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500828","1200","TS",23,-87.2,55,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500828","1800","TS",23.2,-87.5,55,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500829","0000","HU",23.5,-87.7,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500829","0600","HU",23.7,-88,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500829","1200","HU",23.9,-88.3,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500829","1800","HU",24.1,-88.4,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500830","0000","HU",24.7,-88.6,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500830","0600","HU",25.7,-88.8,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500830","1200","HU",27,-89,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500830","1800","HU",28.2,-88.7,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500831","0000","HU",29.4,-88.2,75,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500831","0300","HU",30.2,-88,75,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500831","0400","HU",30.7,-87.9,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500831","0600","TS",31.1,-87.9,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500831","1200","TS",33.4,-88.2,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500831","1800","TS",34.8,-88.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500901","0000","TD",36,-89,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500901","0600","TD",36.7,-89,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500901","1200","TD",36.7,-89.2,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL021950","BAKER","19500901","1800","TD",37,-89.7,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500821","1200","TS",11.1,-26.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500821","1800","TS",11,-27.6,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500822","0000","TS",10.9,-28.9,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500822","0600","TS",10.8,-30.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500822","1200","TS",10.7,-31.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500822","1800","TS",10.6,-32.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500823","0000","TS",10.6,-34,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500823","0600","TS",10.6,-35.2,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500823","1200","TS",10.7,-36.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500823","1800","TS",10.8,-37.5,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500824","0000","TS",11,-38.6,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500824","0600","TS",11.2,-39.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500824","1200","TS",11.5,-40.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500824","1800","TS",11.9,-41.7,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500825","0000","TS",12.4,-42.7,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500825","0600","TS",12.9,-43.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500825","1200","TS",13.5,-44.5,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500825","1800","TS",14.2,-45.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500826","0000","TS",14.9,-46.2,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500826","0600","TS",15.7,-47.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500826","1200","TS",16.5,-48,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500826","1800","TS",17.3,-49,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500827","0000","TS",18.1,-50,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500827","0600","TS",18.9,-51,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500827","1200","TS",19.8,-52,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500827","1800","TS",20.9,-52.9,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500828","0000","HU",22.3,-53.7,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500828","0600","HU",23.8,-54.6,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500828","1200","HU",25,-55.5,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500828","1800","HU",26.1,-56.4,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500829","0000","HU",27.1,-57.1,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500829","0600","HU",28.3,-57.3,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500829","1200","HU",29.5,-57.5,85,974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500829","1800","HU",30.4,-57.5,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500830","0000","HU",31.2,-57.1,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500830","0600","HU",31.9,-56.6,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500830","1200","HU",32.5,-56.1,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500830","1800","HU",32.8,-56,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500831","0000","HU",32.9,-56.2,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500831","0600","HU",32.8,-56.4,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500831","1200","HU",32.8,-56.7,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500831","1800","HU",32.8,-57.3,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500901","0000","HU",32.8,-57.9,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500901","0600","HU",32.7,-58.4,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500901","1200","HU",32.6,-58.9,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500901","1800","HU",32.7,-59.5,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500902","0000","HU",33,-60.1,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500902","0600","HU",33.3,-60.7,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500902","1200","HU",33.7,-61.2,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500902","1800","HU",34.3,-61.4,75,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500903","0000","HU",34.9,-61.5,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500903","0600","HU",35.4,-61.3,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500903","1200","HU",36,-61,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500903","1800","HU",36.3,-60.7,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500904","0000","HU",36.6,-60.1,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500904","0600","HU",37.1,-59.3,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500904","1200","TS",37.8,-58.2,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500904","1800","EX",38.6,-57.1,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500905","0000","EX",40,-55.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500905","0600","EX",42.2,-53,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL031950","CHARLIE","19500905","1200","EX",44.8,-47.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL041950","DOG","19500830","1800","HU",15.2,-55.6,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL041950","DOG","19500831","0000","HU",15.5,-56.9,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
"AL041950","DOG","19500831","0600","HU",15.9,-58.1,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1950"
