County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,0,0,0
Allendale,2,2,4
Anderson,0,0,0
Bamberg,5,5,10
Barnwell,5,6,11
Beaufort,96,137,233
Berkeley,17,26,43
Calhoun,0,0,0
Charleston,50,73,123
Cherokee,0,0,0
Chester,0,0,0
Chesterfield,0,0,0
Clarendon,0,0,0
Colleton,20,25,45
Darlington,0,0,0
Dillon,0,0,0
Dorchester,25,34,59
Edgefield,0,0,0
Fairfield,0,0,0
Florence,0,0,0
Georgetown,0,0,0
Greenville,0,0,0
Greenwood,0,0,0
Hampton,6,7,13
Horry,0,0,0
Jasper,7,8,15
Kershaw,0,0,0
Lancaster,0,0,0
Laurens,0,0,0
Lee,0,0,0
Lexington,0,0,0
McCormick,0,0,0
Marion,0,0,0
Marlboro,0,0,0
Newberry,0,0,0
Oconee,0,0,0
Orangeburg,11,12,23
Pickens,0,0,0
Richland,0,0,0
Saluda,0,0,0
Spartanburg,0,0,0
Sumter,0,0,0
Union,0,0,0
Williamsburg,0,0,0
York,0,0,0
