County,S_Shelter_housedhold,L_Shelter_housedhold,demand
Abbeville,0,0,0
Aiken,0,0,0
Allendale,0,0,0
Anderson,0,0,0
Bamberg,0,0,0
Barnwell,0,0,0
Beaufort,25,32,57
Berkeley,0,0,0
Calhoun,0,0,0
Charleston,2,9,11
Cherokee,0,0,0
Chester,0,0,0
Chesterfield,0,0,0
Clarendon,0,0,0
Colleton,2,3,5
Darlington,0,0,0
Dillon,0,0,0
Dorchester,0,0,0
Edgefield,0,0,0
Fairfield,0,0,0
Florence,0,0,0
Georgetown,0,0,0
Greenville,0,0,0
Greenwood,0,0,0
Hampton,0,0,0
Horry,0,0,0
Jasper,1,1,2
Kershaw,0,0,0
Lancaster,0,0,0
Laurens,0,0,0
Lee,0,0,0
Lexington,0,0,0
McCormick,0,0,0
Marion,0,0,0
Marlboro,0,0,0
Newberry,0,0,0
Oconee,0,0,0
Orangeburg,0,0,0
Pickens,0,0,0
Richland,0,0,0
Saluda,0,0,0
Spartanburg,0,0,0
Sumter,0,0,0
Union,0,0,0
Williamsburg,0,0,0
York,0,0,0
