Stage,state,state_next
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,1.000000,0.001502
0.000000,0.000000,2.000000,0.012012
0.000000,0.000000,3.000000,0.000000
0.000000,0.000000,4.000000,0.109610
0.000000,0.000000,5.000000,0.876877
0.000000,1.000000,0.000000,0.000000
0.000000,1.000000,1.000000,0.001707
0.000000,1.000000,2.000000,0.011806
0.000000,1.000000,3.000000,0.000000
0.000000,1.000000,4.000000,0.124637
0.000000,1.000000,5.000000,0.861850
0.000000,2.000000,0.000000,0.000030
0.000000,2.000000,1.000000,0.001544
0.000000,2.000000,2.000000,0.011939
0.000000,2.000000,3.000000,0.002223
0.000000,2.000000,4.000000,0.112710
0.000000,2.000000,5.000000,0.871554
0.000000,3.000000,0.000000,0.000000
0.000000,3.000000,1.000000,0.000784
0.000000,3.000000,2.000000,0.006269
0.000000,3.000000,3.000000,0.000000
0.000000,3.000000,4.000000,0.110328
0.000000,3.000000,5.000000,0.882620
0.000000,4.000000,0.000000,0.000000
0.000000,4.000000,1.000000,0.000891
0.000000,4.000000,2.000000,0.006161
0.000000,4.000000,3.000000,0.000000
0.000000,4.000000,4.000000,0.125453
0.000000,4.000000,5.000000,0.867495
0.000000,5.000000,0.000000,0.000016
0.000000,5.000000,1.000000,0.000806
0.000000,5.000000,2.000000,0.006231
0.000000,5.000000,3.000000,0.002238
0.000000,5.000000,4.000000,0.113448
0.000000,5.000000,5.000000,0.877262
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,1.000000,0.000000
1.000000,0.000000,2.000000,0.000000
1.000000,0.000000,3.000000,0.000000
1.000000,0.000000,4.000000,0.150000
1.000000,0.000000,5.000000,0.850000
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,2.000000,0.000000
1.000000,1.000000,3.000000,0.003460
1.000000,1.000000,4.000000,0.118512
1.000000,1.000000,5.000000,0.878028
1.000000,2.000000,0.000000,0.000000
1.000000,2.000000,1.000000,0.000000
1.000000,2.000000,2.000000,0.000000
1.000000,2.000000,3.000000,0.001813
1.000000,2.000000,4.000000,0.117407
1.000000,2.000000,5.000000,0.880780
1.000000,3.000000,0.000000,0.000000
1.000000,3.000000,1.000000,0.000967
1.000000,3.000000,2.000000,0.005479
1.000000,3.000000,3.000000,0.000000
1.000000,3.000000,4.000000,0.149033
1.000000,3.000000,5.000000,0.844521
1.000000,4.000000,0.000000,0.000022
1.000000,4.000000,1.000000,0.000764
1.000000,4.000000,2.000000,0.005660
1.000000,4.000000,3.000000,0.003438
1.000000,4.000000,4.000000,0.117748
1.000000,4.000000,5.000000,0.872368
1.000000,5.000000,0.000000,0.000012
1.000000,5.000000,1.000000,0.000757
1.000000,5.000000,2.000000,0.005677
1.000000,5.000000,3.000000,0.001802
1.000000,5.000000,4.000000,0.116650
1.000000,5.000000,5.000000,0.875102
2.000000,0.000000,0.000000,0.000000
2.000000,0.000000,1.000000,0.000000
2.000000,0.000000,2.000000,0.000000
2.000000,0.000000,3.000000,0.000000
2.000000,0.000000,4.000000,0.200000
2.000000,0.000000,5.000000,0.800000
2.000000,1.000000,0.000000,0.000000
2.000000,1.000000,1.000000,0.000000
2.000000,1.000000,2.000000,0.000000
2.000000,1.000000,3.000000,0.004252
2.000000,1.000000,4.000000,0.118197
2.000000,1.000000,5.000000,0.877551
2.000000,2.000000,0.000000,0.000000
2.000000,2.000000,1.000000,0.000000
2.000000,2.000000,2.000000,0.000000
2.000000,2.000000,3.000000,0.001704
2.000000,2.000000,4.000000,0.130168
2.000000,2.000000,5.000000,0.868128
2.000000,3.000000,0.000000,0.000000
2.000000,3.000000,1.000000,0.001651
2.000000,3.000000,2.000000,0.006602
2.000000,3.000000,3.000000,0.000000
2.000000,3.000000,4.000000,0.198349
2.000000,3.000000,5.000000,0.793398
2.000000,4.000000,0.000000,0.000035
2.000000,4.000000,1.000000,0.000975
2.000000,4.000000,2.000000,0.007242
2.000000,4.000000,3.000000,0.004217
2.000000,4.000000,4.000000,0.117222
2.000000,4.000000,5.000000,0.870309
2.000000,5.000000,0.000000,0.000014
2.000000,5.000000,1.000000,0.001074
2.000000,5.000000,2.000000,0.007165
2.000000,5.000000,3.000000,0.001690
2.000000,5.000000,4.000000,0.129094
2.000000,5.000000,5.000000,0.860964
